Season,round,home,visitor,hgoal,vgoal,tothgoal,totvgoal,totagg_home,totagg_visitor
1999,GroupB-prelim,ACF Fiorentina,Barcelona,3,3,3,3,5,7
1999,GroupB-prelim,AIK Solna,Arsenal,2,3,2,3,3,6
1999,GroupA-prelim,Bayer Leverkusen,NK Maribor,0,0,0,0,2,0
1999,GroupC-prelim,Boavista,Borussia Dortmund,1,0,1,0,2,3
1999,GroupA-prelim,Dinamo Kiev,Lazio,0,1,0,1,1,3
1999,GroupD-prelim,Olympique Marseille,Dinamo Zagreb,2,2,2,2,4,3
1999,GroupC-prelim,Feyenoord,Rosenborg BK,1,0,1,0,3,2
1999,GroupD-prelim,Manchester United,Sturm Graz,2,1,2,1,5,1
1999,GroupH-prelim,Galatasaray,AC Milan,3,2,3,2,4,4
1999,GroupF-prelim,Bayern Munich,Rangers,1,0,1,0,2,1
1999,GroupH-prelim,Chelsea,Hertha BSC,2,0,2,0,3,2
1999,GroupE-prelim,Olympiacos,FC Porto,1,0,1,0,1,2
1999,GroupG-prelim,Willem II,Girondins Bordeaux,0,0,0,0,2,3
1999,GroupE-prelim,Molde FK,Real Madrid,0,1,0,1,1,5
1999,GroupF-prelim,Valencia CF,PSV Eindhoven,1,0,1,0,2,1
1999,GroupG-prelim,Sparta Praha,Spartak Moskva,5,2,5,2,6,3
1999,GroupB-inter,ACF Fiorentina,Manchester United,2,0,2,0,3,3
1999,GroupA-inter,Hertha BSC,Barcelona,1,1,1,1,2,4
1999,GroupA-inter,Sparta Praha,FC Porto,0,2,0,2,2,4
1999,GroupB-inter,Valencia CF,Girondins Bordeaux,3,0,3,0,7,1
1999,GroupC-inter,Rosenborg BK,Bayern Munich,1,1,1,1,2,3
1999,GroupD-inter,Chelsea,Feyenoord,3,1,3,1,6,2
1999,GroupC-inter,Dinamo Kiev,Real Madrid,1,2,1,2,3,4
1999,GroupD-inter,Olympique Marseille,Lazio,0,2,0,2,1,7
1999,GroupC-inter,Bayern Munich,Dinamo Kiev,2,1,2,1,2,3
1999,GroupD-inter,Lazio,Chelsea,0,0,0,0,2,1
1999,GroupD-inter,Feyenoord,Olympique Marseille,3,0,3,0,3,0
1999,GroupC-inter,Real Madrid,Rosenborg BK,3,1,3,1,4,1
1999,GroupB-inter,Girondins Bordeaux,ACF Fiorentina,0,0,0,0,3,3
1999,GroupA-inter,Barcelona,Sparta Praha,5,0,5,0,7,1
1999,GroupA-inter,FC Porto,Hertha BSC,1,0,1,0,2,0
1999,GroupB-inter,Manchester United,Valencia CF,3,0,3,0,3,0
1999,GroupC-inter,Real Madrid,Bayern Munich,2,4,2,4,3,8
1999,GroupD-inter,Olympique Marseille,Chelsea,1,0,1,0,1,1
1999,GroupC-inter,Dinamo Kiev,Rosenborg BK,2,1,2,1,4,2
1999,GroupD-inter,Lazio,Feyenoord,1,2,1,2,1,2
1999,GroupB-inter,ACF Fiorentina,Valencia CF,1,0,1,0,1,2
1999,GroupA-inter,Barcelona,FC Porto,4,2,4,2,6,2
1999,GroupB-inter,Manchester United,Girondins Bordeaux,2,0,2,0,4,1
1999,GroupA-inter,Hertha BSC,Sparta Praha,1,1,1,1,1,2
1999,GroupB-inter,Valencia CF,ACF Fiorentina,2,0,2,0,2,1
1999,GroupA-inter,FC Porto,Barcelona,0,2,0,2,2,6
1999,GroupB-inter,Girondins Bordeaux,Manchester United,1,2,1,2,1,4
1999,GroupA-inter,Sparta Praha,Hertha BSC,1,0,1,0,2,1
1999,GroupC-inter,Bayern Munich,Real Madrid,4,1,4,1,8,3
1999,GroupD-inter,Chelsea,Olympique Marseille,1,0,1,0,1,1
1999,GroupC-inter,Rosenborg BK,Dinamo Kiev,1,2,1,2,2,4
1999,GroupD-inter,Feyenoord,Lazio,0,0,0,0,2,1
1999,GroupC-inter,Bayern Munich,Rosenborg BK,2,1,2,1,3,2
1999,GroupD-inter,Feyenoord,Chelsea,1,3,1,3,2,6
1999,GroupC-inter,Real Madrid,Dinamo Kiev,2,2,2,2,4,3
1999,GroupD-inter,Lazio,Olympique Marseille,5,1,5,1,7,1
1999,GroupB-inter,Manchester United,ACF Fiorentina,3,1,3,1,3,3
1999,GroupA-inter,Barcelona,Hertha BSC,3,1,3,1,4,2
1999,GroupA-inter,FC Porto,Sparta Praha,2,2,2,2,4,2
1999,GroupB-inter,Girondins Bordeaux,Valencia CF,1,4,1,4,1,7
1999,GroupB-inter,ACF Fiorentina,Girondins Bordeaux,3,3,3,3,3,3
1999,GroupA-inter,Sparta Praha,Barcelona,1,2,1,2,1,7
1999,GroupA-inter,Hertha BSC,FC Porto,0,1,0,1,0,2
1999,GroupB-inter,Valencia CF,Manchester United,0,0,0,0,0,3
1999,GroupC-inter,Dinamo Kiev,Bayern Munich,2,0,2,0,3,2
1999,GroupD-inter,Chelsea,Lazio,1,2,1,2,1,2
1999,GroupD-inter,Olympique Marseille,Feyenoord,0,0,0,0,0,3
1999,GroupC-inter,Rosenborg BK,Real Madrid,0,1,0,1,1,4
2000,GroupB-prelim,Sparta Praha,Arsenal,0,1,0,1,2,5
2000,GroupD-prelim,Galatasaray,AS Monaco,3,2,3,2,5,6
2000,GroupA-prelim,Spartak Moskva,Bayer Leverkusen,2,0,2,0,2,1
2000,GroupB-prelim,Shakhtar Donetsk,Lazio,0,3,0,3,1,8
2000,GroupC-prelim,Valencia CF,Olympiacos,2,1,2,1,2,2
2000,GroupC-prelim,Olympique Lyon,sc Heerenveen,3,1,3,1,5,1
2000,GroupD-prelim,Rangers,Sturm Graz,5,0,5,0,5,2
2000,GroupA-prelim,Sporting CP,Real Madrid,2,2,2,2,2,6
2000,GroupH-prelim,AC Milan,Besiktas,4,1,4,1,6,1
2000,GroupH-prelim,Barcelona,Leeds United,4,0,4,0,5,1
2000,GroupF-prelim,Helsingborgs IF,Bayern Munich,1,3,1,3,1,3
2000,GroupE-prelim,Panathinaikos,Deportivo La Coruna,1,1,1,1,1,2
