Team,Game,Total_shots,Shots_on_target,Shots_off_target,Shots_saved,Corners,Freekicks,Fouls,Offsides
Arsenal FC,Home,10.0,7.333333333333333,2.6666666666666665,2.3333333333333335,5.666666666666667,10.666666666666666,7.666666666666667,3.3333333333333335
Arsenal FC,Away,7.333333333333333,4.333333333333333,3.0,3.0,4.666666666666667,12.0,15.0,1.3333333333333333
Paris Saint-Germain,Home,11.0,6.0,5.0,0.6666666666666666,11.0,16.333333333333332,11.333333333333334,3.3333333333333335
Paris Saint-Germain,Away,12.333333333333334,6.333333333333333,6.0,1.3333333333333333,6.666666666666667,12.0,10.666666666666666,4.0
SSC Napoli,Home,11.666666666666666,5.666666666666667,6.0,0.3333333333333333,13.333333333333334,18.666666666666668,11.666666666666666,4.333333333333333
SSC Napoli,Away,8.333333333333334,4.333333333333333,4.0,1.0,5.333333333333333,14.0,15.0,4.666666666666667
SL Benfica,Home,10.666666666666666,4.0,6.666666666666667,3.6666666666666665,6.0,17.0,16.666666666666668,0.6666666666666666
SL Benfica,Away,8.666666666666666,4.0,4.666666666666667,2.3333333333333335,1.0,15.0,15.0,0.6666666666666666
FC Barcelona,Home,11.333333333333334,7.666666666666667,3.6666666666666665,2.0,5.666666666666667,10.333333333333334,9.666666666666666,2.6666666666666665
FC Barcelona,Away,7.333333333333333,4.666666666666667,2.6666666666666665,1.3333333333333333,5.666666666666667,15.0,12.666666666666666,1.6666666666666667
Manchester City,Home,11.333333333333334,6.0,5.333333333333333,2.3333333333333335,6.333333333333333,17.666666666666668,10.0,3.6666666666666665
Manchester City,Away,11.333333333333334,6.666666666666667,4.666666666666667,2.3333333333333335,7.333333333333333,14.0,11.333333333333334,1.0
Atletico Madrid,Home,12.666666666666666,6.0,6.666666666666667,3.3333333333333335,8.0,11.666666666666666,9.333333333333334,0.6666666666666666
Atletico Madrid,Away,9.666666666666666,4.666666666666667,5.0,2.3333333333333335,3.3333333333333335,9.333333333333334,8.0,1.3333333333333333
Bayern Munich,Home,13.666666666666666,7.333333333333333,6.333333333333333,2.3333333333333335,6.666666666666667,10.333333333333334,10.333333333333334,1.3333333333333333
Bayern Munich,Away,15.666666666666666,7.666666666666667,8.0,1.6666666666666667,6.666666666666667,11.0,11.0,1.3333333333333333
AS Monaco,Home,10.333333333333334,5.666666666666667,4.666666666666667,2.3333333333333335,5.666666666666667,16.333333333333332,10.333333333333334,1.6666666666666667
AS Monaco,Away,7.666666666666667,3.0,4.666666666666667,3.6666666666666665,4.333333333333333,16.0,11.0,1.6666666666666667
Bayer 04 Leverkusen,Home,13.0,7.0,6.0,1.0,5.333333333333333,16.0,12.666666666666666,3.0
Bayer 04 Leverkusen,Away,7.0,4.0,3.0,2.0,5.333333333333333,15.0,12.666666666666666,1.6666666666666667
Borussia Dortmund,Home,12.333333333333334,8.333333333333334,4.0,2.6666666666666665,3.3333333333333335,17.0,10.666666666666666,4.0
Borussia Dortmund,Away,12.666666666666666,8.0,4.666666666666667,4.0,5.333333333333333,12.333333333333334,12.0,1.6666666666666667
Real Madrid,Home,14.333333333333334,8.333333333333334,6.0,5.0,6.666666666666667,13.333333333333334,9.333333333333334,4.333333333333333
Real Madrid,Away,12.333333333333334,5.666666666666667,6.666666666666667,3.6666666666666665,7.0,15.0,10.666666666666666,2.0
Leicester City,Home,6.0,5.0,1.0,4.0,5.333333333333333,12.0,12.333333333333334,2.3333333333333335
Leicester City,Away,6.666666666666667,3.3333333333333335,3.3333333333333335,2.3333333333333335,3.0,7.0,11.333333333333334,3.0
FC Porto,Home,12.0,5.666666666666667,6.333333333333333,2.0,6.666666666666667,14.0,9.666666666666666,2.3333333333333335
FC Porto,Away,12.333333333333334,5.666666666666667,6.666666666666667,2.3333333333333335,6.333333333333333,19.333333333333332,12.666666666666666,1.0
Juventus FC,Home,13.0,6.0,7.0,2.0,4.333333333333333,20.333333333333332,12.666666666666666,1.6666666666666667
Juventus FC,Away,9.333333333333334,5.333333333333333,4.0,1.3333333333333333,5.0,15.666666666666666,12.0,2.0
Sevilla FC,Home,13.333333333333334,6.666666666666667,6.666666666666667,2.6666666666666665,6.0,18.333333333333332,11.666666666666666,5.666666666666667
Sevilla FC,Away,4.666666666666667,2.0,2.6666666666666665,3.3333333333333335,3.3333333333333335,16.0,15.666666666666666,2.6666666666666665
