Team,home_goal_32_6,home_lost_32_6,away_goal_32_6,away_lost_32_6,home_goal_16_6,home_lost_16_6,away_goal_16_6,away_lost_16_6
Real Madrid,8,3,5,6,3,2,2,1
Celtic,5,0,9,3,0,0,0,0
PSV Eindhoven,3,3,3,3,1,0,1,1
Lille OSC,5,3,2,3,0,1,1,0
Barcelona,9,2,2,3,1,2,0,1
Internazionale,3,3,2,2,2,2,0,0
AS Roma,6,1,3,2,0,0,0,2
FC Porto,4,1,3,5,1,1,2,1
Liverpool,8,2,3,3,0,1,1,2
Valencia CF,6,1,5,6,0,0,2,2
Olympique Lyon,4,1,2,8,0,2,0,0
Chelsea,5,0,4,5,2,1,1,1
Bayern Munich,5,1,2,5,2,1,3,2
AC Milan,7,3,1,1,0,0,0,0
Arsenal,5,1,2,2,1,1,1,0
Manchester United,9,3,2,1,1,0,0,1
