Team,home_goal_32_15,home_lost_32_15,away_goal_32_15,away_lost_32_15,home_goal_16_15,home_lost_16_15,away_goal_16_15,away_lost_16_15
Paris Saint-Germain,4,0,1,8,2,1,1,2
SL Benfica,5,3,5,5,1,0,1,2
AS Roma,4,3,13,7,0,2,2,0
Gent,4,2,5,4,2,3,1,0
Arsenal,7,3,7,5,0,2,3,1
Juventus,3,0,3,3,2,2,2,2
PSV Eindhoven,6,2,5,2,0,0,0,0
Dinamo Kiev,3,2,2,5,1,3,0,0
Real Madrid,13,0,3,6,2,0,0,2
VfL Wolfsburg,6,2,4,3,1,0,2,3
Chelsea,8,1,2,5,1,2,2,1
Zenit St. Petersburg,7,2,4,6,1,2,1,0
Atletico Madrid,7,2,1,4,0,0,0,0
Manchester City,7,5,3,5,0,0,1,3
Barcelona,11,2,2,4,3,1,0,2
Bayern Munich,14,1,2,5,2,2,2,2
