Team,home_goal_32_9,home_lost_32_9,away_goal_32_9,away_lost_32_9,home_goal_16_9,home_lost_16_9,away_goal_16_9,away_lost_16_9
AC Milan,2,3,4,6,2,3,4,0
Olympique Lyon,6,1,2,6,1,0,1,1
Bayern Munich,1,2,3,8,2,1,3,2
FC Porto,4,2,1,4,2,1,5,0
VfB Stuttgart,5,5,2,4,1,1,4,0
Olympiacos,4,1,4,0,0,1,2,1
Internazionale,4,2,4,3,2,1,0,1
CSKA Moskva,4,3,7,6,1,1,1,2
ACF Fiorentina,8,2,5,6,3,2,2,1
Arsenal,8,1,4,4,5,0,2,1
Manchester United,5,5,1,5,4,0,2,3
Real Madrid,6,3,4,9,1,1,1,0
Chelsea,7,2,2,4,0,1,2,1
Sevilla,4,1,3,7,1,2,1,1
Barcelona,5,2,1,2,4,0,1,1
Girondins Bordeaux,5,1,1,4,2,1,0,1
