Team,home_goal_32_12,home_lost_32_12,away_goal_32_12,away_lost_32_12,home_goal_16_12,home_lost_16_12,away_goal_16_12,away_lost_16_12
Celtic,4,2,6,5,0,3,2,0
Valencia CF,7,3,2,5,1,2,1,1
Shakhtar Donetsk,4,2,6,8,2,2,3,0
Real Madrid,9,5,4,6,1,1,1,2
Arsenal,5,3,5,5,1,3,0,2
FC Porto,7,2,2,3,1,0,2,0
AC Milan,1,2,4,6,2,0,4,0
Galatasaray,2,3,3,5,1,1,2,3
Borussia Dortmund,4,1,4,7,3,0,2,2
Manchester United,4,3,3,5,1,2,1,1
Juventus,8,1,3,4,2,0,0,3
Paris Saint-Germain,10,2,1,4,1,1,1,2
Barcelona,5,3,2,6,4,0,2,0
Schalke 04,5,4,2,5,2,3,1,1
Bayern Munich,12,3,4,3,0,2,1,3
Malaga CF,6,2,3,6,2,0,1,0
