Team,Game,Total_shots,Shots_on_target,Shots_off_target,Shots_saved,Corners,Freekicks,Fouls,Offsides
Real Madrid,Home,17.666666666666668,9.333333333333334,8.333333333333334,2.3333333333333335,5.333333333333333,12.0,11.666666666666666,1.3333333333333333
Real Madrid,Away,12.0,6.0,6.0,1.6666666666666667,6.666666666666667,17.666666666666668,11.666666666666666,1.3333333333333333
Paris Saint-Germain,Home,11.666666666666666,5.333333333333333,6.333333333333333,2.3333333333333335,7.666666666666667,12.0,10.666666666666666,6.666666666666667
Paris Saint-Germain,Away,10.0,5.333333333333333,4.666666666666667,4.666666666666667,4.0,15.666666666666666,12.333333333333334,4.0
VfL Wolfsburg,Home,13.666666666666666,7.666666666666667,6.0,5.0,4.666666666666667,11.666666666666666,8.333333333333334,2.0
VfL Wolfsburg,Away,7.666666666666667,3.6666666666666665,4.0,4.333333333333333,3.0,17.666666666666668,8.666666666666666,3.3333333333333335
PSV Eindhoven,Home,7.666666666666667,5.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,9.0,16.0,5.0
PSV Eindhoven,Away,8.0,4.333333333333333,3.6666666666666665,4.333333333333333,3.6666666666666665,11.666666666666666,8.333333333333334,2.0
Atletico Madrid,Home,18.0,9.333333333333334,8.666666666666666,1.3333333333333333,10.0,13.666666666666666,9.0,2.0
Atletico Madrid,Away,9.0,5.333333333333333,3.6666666666666665,3.3333333333333335,5.333333333333333,13.666666666666666,14.333333333333334,1.3333333333333333
SL Benfica,Home,13.0,6.666666666666667,6.333333333333333,2.0,4.0,18.666666666666668,13.333333333333334,1.3333333333333333
SL Benfica,Away,10.666666666666666,5.666666666666667,5.0,4.666666666666667,3.0,18.0,12.666666666666666,1.0
Manchester City,Home,12.333333333333334,6.666666666666667,5.666666666666667,1.6666666666666667,6.0,10.666666666666666,13.666666666666666,0.6666666666666666
Manchester City,Away,14.0,5.0,9.0,3.0,7.0,14.0,10.666666666666666,1.3333333333333333
Juventus FC,Home,13.0,4.666666666666667,8.333333333333334,0.6666666666666666,5.666666666666667,15.333333333333334,11.0,1.0
Juventus FC,Away,11.0,4.666666666666667,6.333333333333333,5.333333333333333,4.0,15.333333333333334,10.666666666666666,1.3333333333333333
FC Barcelona,Home,13.666666666666666,8.333333333333334,5.333333333333333,2.6666666666666665,7.333333333333333,17.0,10.666666666666666,5.666666666666667
FC Barcelona,Away,10.0,4.666666666666667,5.333333333333333,4.333333333333333,5.666666666666667,17.0,7.0,2.6666666666666665
AS Roma,Home,10.666666666666666,5.0,5.666666666666667,2.0,3.3333333333333335,12.0,12.333333333333334,1.6666666666666667
AS Roma,Away,11.0,7.0,4.0,4.333333333333333,5.666666666666667,19.0,10.333333333333334,2.3333333333333335
Bayern Munich,Home,20.0,12.333333333333334,7.666666666666667,1.0,8.666666666666666,9.0,5.666666666666667,3.0
Bayern Munich,Away,16.333333333333332,8.666666666666666,7.666666666666667,5.0,8.333333333333334,13.333333333333334,11.0,3.0
Arsenal FC,Home,12.0,7.0,5.0,3.0,7.333333333333333,9.333333333333334,8.0,3.0
Arsenal FC,Away,6.333333333333333,4.0,2.3333333333333335,5.666666666666667,4.666666666666667,13.0,12.0,3.6666666666666665
Chelsea FC,Home,8.666666666666666,5.0,3.6666666666666665,2.3333333333333335,6.666666666666667,20.333333333333332,14.0,2.6666666666666665
Chelsea FC,Away,11.666666666666666,6.333333333333333,5.333333333333333,3.6666666666666665,4.666666666666667,16.333333333333332,13.0,3.6666666666666665
GNK Dinamo Zagreb,Home,8.333333333333334,4.333333333333333,4.0,6.0,4.666666666666667,16.0,10.666666666666666,3.6666666666666665
GNK Dinamo Zagreb,Away,4.0,2.0,2.0,4.0,3.3333333333333335,7.0,12.333333333333334,1.6666666666666667
Zenit St. Petersburg,Home,11.333333333333334,6.666666666666667,4.666666666666667,1.3333333333333333,6.0,18.666666666666668,16.333333333333332,4.666666666666667
Zenit St. Petersburg,Away,6.666666666666667,4.666666666666667,2.0,4.666666666666667,2.0,19.333333333333332,15.333333333333334,2.3333333333333335
KAA Gent,Home,8.666666666666666,7.0,1.6666666666666667,2.3333333333333335,4.333333333333333,18.0,13.666666666666666,2.0
KAA Gent,Away,6.333333333333333,4.0,2.3333333333333335,5.333333333333333,4.666666666666667,19.333333333333332,19.333333333333332,2.0
