Team,home_goal_32_3,home_lost_32_3,away_goal_32_3,away_lost_32_3,home_goal_16_3,home_lost_16_3,away_goal_16_3,away_lost_16_3
Lokomotiv Moskva,6,2,5,1,2,1,1,0
Sparta Praha,3,2,3,2,0,0,4,1
Celta Vigo,4,3,3,3,2,3,2,0
Bayern Munich,4,3,2,2,1,1,1,0
VfB Stuttgart,5,1,5,4,0,1,0,0
Deportivo La Coruna,6,0,12,6,1,0,0,1
FC Porto,4,4,4,5,2,1,1,1
Real Sociedad,2,1,7,6,0,1,1,0
Chelsea,2,3,0,7,0,0,0,1
Juventus,13,3,3,2,0,1,1,0
Manchester United,10,0,2,3,1,1,2,1
Olympique Lyon,5,3,4,2,1,0,0,1
AS Monaco,13,4,2,2,1,0,2,1
AC Milan,2,3,0,2,4,1,0,0
Arsenal,3,3,3,6,2,0,2,3
Real Madrid,6,3,2,5,1,0,1,1
