Team,home_goal_32_8,home_lost_32_8,away_goal_32_8,away_lost_32_8,home_goal_16_8,home_lost_16_8,away_goal_16_8,away_lost_16_8
Arsenal,5,0,5,6,1,0,1,0
Atletico Madrid,5,3,1,4,2,2,0,0
Olympique Lyon,6,5,5,8,1,1,5,2
Internazionale,2,2,5,6,0,0,2,0
Sporting CP,5,5,3,3,0,5,7,1
Chelsea,7,1,4,2,1,0,2,2
Real Madrid,5,2,3,4,0,1,4,0
Villarreal,7,3,4,2,1,1,1,2
Bayern Munich,7,1,3,5,7,1,0,5
Juventus,3,1,2,4,2,2,1,0
Liverpool,5,2,3,6,4,0,0,1
Panathinaikos,3,4,3,5,1,2,1,1
AS Roma,6,3,3,6,1,0,1,0
FC Porto,5,2,6,4,0,0,2,2
Barcelona,6,5,3,12,5,2,1,1
Manchester United,5,2,1,4,2,0,0,0
