Team,Game,Total_shots,Shots_on_target,Shots_off_target,Shots_saved,Corners,Freekicks,Fouls,Offsides
Manchester United,Home,12.333333333333334,6.666666666666667,5.666666666666667,3.0,6.666666666666667,13.666666666666666,12.0,1.6666666666666667
Manchester United,Away,11.0,6.0,5.0,3.6666666666666665,7.333333333333333,8.666666666666666,11.333333333333334,3.0
FC Basel 1893,Home,10.666666666666666,6.333333333333333,4.333333333333333,1.6666666666666667,3.0,12.0,11.0,1.0
FC Basel 1893,Away,8.0,4.0,4.0,4.0,3.0,15.0,16.333333333333332,3.6666666666666665
Paris Saint-Germain,Home,16.333333333333332,8.666666666666666,7.666666666666667,2.6666666666666665,4.333333333333333,11.666666666666666,10.0,2.3333333333333335
Paris Saint-Germain,Away,12.666666666666666,7.0,5.666666666666667,4.333333333333333,3.0,14.333333333333334,8.666666666666666,2.6666666666666665
Bayern Munich,Home,17.0,9.333333333333334,7.666666666666667,3.6666666666666665,9.666666666666666,10.333333333333334,11.666666666666666,2.6666666666666665
Bayern Munich,Away,11.666666666666666,5.666666666666667,6.0,3.0,8.0,15.333333333333334,10.333333333333334,2.3333333333333335
AS Roma,Home,11.666666666666666,5.0,6.666666666666667,5.666666666666667,8.0,15.333333333333334,6.0,2.0
AS Roma,Away,9.666666666666666,5.666666666666667,4.0,1.0,4.666666666666667,19.0,9.0,1.0
Chelsea FC,Home,12.666666666666666,6.666666666666667,6.0,2.6666666666666665,6.0,11.666666666666666,9.333333333333334,2.6666666666666665
Chelsea FC,Away,12.666666666666666,6.666666666666667,6.0,2.3333333333333335,4.0,8.666666666666666,11.0,2.3333333333333335
FC Barcelona,Home,11.333333333333334,7.333333333333333,4.0,3.0,6.0,15.333333333333334,10.0,2.0
FC Barcelona,Away,9.0,4.333333333333333,4.666666666666667,2.6666666666666665,6.333333333333333,13.666666666666666,11.0,3.6666666666666665
Juventus FC,Home,11.0,6.0,5.0,1.0,8.666666666666666,17.666666666666668,15.0,0.6666666666666666
Juventus FC,Away,9.333333333333334,5.666666666666667,3.6666666666666665,2.0,5.0,15.666666666666666,13.0,2.3333333333333335
Liverpool FC,Home,15.333333333333334,8.666666666666666,6.666666666666667,2.0,10.0,10.0,11.666666666666666,1.0
Liverpool FC,Away,14.333333333333334,9.666666666666666,4.666666666666667,1.3333333333333333,7.0,14.666666666666666,13.333333333333334,2.3333333333333335
Sevilla FC,Home,11.666666666666666,6.0,5.666666666666667,1.6666666666666667,9.333333333333334,14.333333333333334,9.0,5.333333333333333
Sevilla FC,Away,8.666666666666666,5.333333333333333,3.3333333333333335,3.6666666666666665,7.0,11.333333333333334,9.666666666666666,1.3333333333333333
Manchester City,Home,13.0,6.333333333333333,6.666666666666667,2.0,4.333333333333333,9.666666666666666,11.666666666666666,3.6666666666666665
Manchester City,Away,8.333333333333334,5.0,3.3333333333333335,3.0,6.333333333333333,12.333333333333334,10.333333333333334,3.0
Shakhtar Donetsk,Home,11.333333333333334,6.666666666666667,4.666666666666667,4.0,3.6666666666666665,16.0,10.0,1.6666666666666667
Shakhtar Donetsk,Away,5.666666666666667,2.6666666666666665,3.0,3.6666666666666665,3.6666666666666665,16.333333333333332,9.666666666666666,2.0
Besiktas JK,Home,6.666666666666667,4.666666666666667,2.0,2.3333333333333335,6.0,20.0,13.0,2.3333333333333335
Besiktas JK,Away,11.0,6.0,5.0,6.333333333333333,4.666666666666667,16.0,11.333333333333334,1.6666666666666667
FC Porto,Home,11.666666666666666,6.0,5.666666666666667,1.3333333333333333,6.333333333333333,14.333333333333334,13.666666666666666,0.6666666666666666
FC Porto,Away,7.666666666666667,4.666666666666667,3.0,4.666666666666667,2.0,12.666666666666666,17.0,1.3333333333333333
Tottenham Hotspur,Home,11.666666666666666,7.333333333333333,4.333333333333333,3.3333333333333335,4.0,11.666666666666666,15.666666666666666,2.0
Tottenham Hotspur,Away,9.333333333333334,5.0,4.333333333333333,3.0,8.0,14.0,11.333333333333334,1.3333333333333333
Real Madrid,Home,16.0,7.333333333333333,8.666666666666666,2.0,9.0,12.333333333333334,9.0,3.3333333333333335
Real Madrid,Away,13.0,9.333333333333334,3.6666666666666665,3.6666666666666665,7.333333333333333,11.666666666666666,8.666666666666666,2.6666666666666665
