Team,home_goal_32_4,home_lost_32_4,away_goal_32_4,away_lost_32_4,home_goal_16_4,home_lost_16_4,away_goal_16_4,away_lost_16_4
Bayern Munich,9,2,3,3,3,1,1,0
PSV Eindhoven,3,1,6,3,1,0,0,2
Liverpool,5,1,2,1,3,1,1,3
Real Madrid,6,3,5,5,1,0,1,0
Manchester United,12,4,5,2,0,1,1,0
Barcelona,6,2,4,3,2,1,4,2
FC Porto,2,1,5,2,1,1,3,1
Werder Bremen,8,3,3,4,0,3,7,2
AC Milan,8,1,2,2,1,0,0,1
Chelsea,5,1,2,5,4,2,2,1
Olympique Lyon,11,4,4,6,7,2,0,3
Arsenal,7,2,4,4,1,0,3,1
AS Monaco,5,1,3,5,0,2,1,0
Bayer Leverkusen,9,1,6,4,1,3,3,1
Juventus,3,0,1,3,1,0,1,0
Internazionale,5,0,3,9,3,1,1,1
