Team,Game,Total_shots,Shots_on_target,Shots_off_target,Shots_saved,Corners,Freekicks,Fouls,Offsides
Atletico Madrid,Home,12.0,6.0,6.0,1.3333333333333333,7.0,10.0,9.333333333333334,3.3333333333333335
Atletico Madrid,Away,7.333333333333333,3.0,4.333333333333333,1.3333333333333333,6.333333333333333,12.0,11.666666666666666,2.0
FC Schalke 04,Home,9.666666666666666,5.0,4.666666666666667,2.3333333333333335,6.666666666666667,16.666666666666668,13.666666666666666,4.666666666666667
FC Schalke 04,Away,7.333333333333333,4.333333333333333,3.0,2.0,3.6666666666666665,13.333333333333334,14.333333333333334,2.0
Paris Saint-Germain,Home,17.0,10.333333333333334,6.666666666666667,1.6666666666666667,8.0,19.0,10.666666666666666,4.666666666666667
Paris Saint-Germain,Away,8.666666666666666,5.666666666666667,3.0,3.3333333333333335,2.6666666666666665,17.0,11.0,1.6666666666666667
Bayern Munich,Home,12.666666666666666,7.333333333333333,5.333333333333333,2.3333333333333335,8.0,14.0,12.333333333333334,3.3333333333333335
Bayern Munich,Away,11.333333333333334,7.333333333333333,4.0,3.6666666666666665,5.666666666666667,11.333333333333334,10.666666666666666,2.0
Manchester City,Home,17.333333333333332,9.0,8.333333333333334,2.3333333333333335,6.333333333333333,13.0,12.0,2.3333333333333335
Manchester City,Away,13.666666666666666,6.333333333333333,7.333333333333333,1.6666666666666667,6.666666666666667,8.333333333333334,14.0,2.6666666666666665
AS Roma,Home,16.666666666666668,10.333333333333334,6.333333333333333,3.6666666666666665,7.333333333333333,14.333333333333334,10.666666666666666,2.0
AS Roma,Away,11.0,4.666666666666667,6.333333333333333,5.666666666666667,5.666666666666667,13.666666666666666,12.0,2.0
Real Madrid,Home,18.5,9.5,9.0,3.0,12.0,11.0,8.5,1.0
Real Madrid,Away,10.5,7.0,3.5,4.0,9.5,14.0,11.0,7.5
Manchester United,Home,11.0,4.0,7.0,2.5,2.0,18.0,14.5,5.5
Manchester United,Away,8.333333333333334,4.333333333333333,4.0,2.6666666666666665,5.0,13.0,16.0,1.3333333333333333
Juventus FC,Home,14.0,6.333333333333333,7.666666666666667,1.6666666666666667,5.0,14.666666666666666,13.0,2.0
Juventus FC,Away,15.0,6.5,8.5,2.5,8.5,19.0,11.0,2.0
FC Barcelona,Home,14.666666666666666,8.0,6.666666666666667,3.0,6.333333333333333,17.333333333333332,10.0,3.0
FC Barcelona,Away,15.666666666666666,8.333333333333334,7.333333333333333,4.0,5.333333333333333,18.333333333333332,9.666666666666666,1.3333333333333333
Liverpool FC,Home,15.0,7.666666666666667,7.333333333333333,2.0,6.666666666666667,13.333333333333334,13.666666666666666,3.6666666666666665
Liverpool FC,Away,6.333333333333333,1.6666666666666667,4.666666666666667,3.3333333333333335,5.0,15.0,13.666666666666666,2.0
Borussia Dortmund,Home,9.333333333333334,4.0,5.333333333333333,2.3333333333333335,4.333333333333333,10.333333333333334,8.333333333333334,2.0
Borussia Dortmund,Away,7.333333333333333,2.3333333333333335,5.0,2.6666666666666665,5.333333333333333,12.0,8.0,2.6666666666666665
Tottenham Hotspur,Home,11.333333333333334,6.333333333333333,5.0,3.0,9.333333333333334,14.333333333333334,16.333333333333332,2.6666666666666665
Tottenham Hotspur,Away,13.0,8.333333333333334,4.666666666666667,2.0,5.0,13.333333333333334,16.0,2.3333333333333335
FC Porto,Home,11.333333333333334,6.0,5.333333333333333,1.6666666666666667,5.0,19.666666666666668,15.666666666666666,2.6666666666666665
FC Porto,Away,6.666666666666667,4.333333333333333,2.3333333333333335,3.3333333333333335,3.0,15.333333333333334,15.0,1.6666666666666667
Ajax Amsterdam,Home,12.666666666666666,8.666666666666666,4.0,3.6666666666666665,6.333333333333333,17.666666666666668,15.666666666666666,3.3333333333333335
Ajax Amsterdam,Away,11.0,5.333333333333333,5.666666666666667,4.0,3.0,16.666666666666668,14.333333333333334,2.0
Olympique Lyon,Home,14.333333333333334,8.0,6.333333333333333,4.666666666666667,3.3333333333333335,16.333333333333332,7.666666666666667,3.6666666666666665
Olympique Lyon,Away,10.333333333333334,5.333333333333333,5.0,5.0,2.6666666666666665,13.666666666666666,9.666666666666666,4.0
