Team,home_goal_32_13,home_lost_32_13,away_goal_32_13,away_lost_32_13,home_goal_16_13,home_lost_16_13,away_goal_16_13,away_lost_16_13
Manchester City,10,7,3,8,0,2,2,1
Bayer Leverkusen,6,6,4,3,0,4,2,1
AC Milan,3,1,4,5,0,1,4,1
Arsenal,5,2,3,3,0,2,1,1
Zenit St. Petersburg,2,2,7,3,2,4,1,2
Olympiacos,5,5,3,5,2,0,3,0
Galatasaray,5,7,7,3,1,1,2,0
Schalke 04,5,3,3,1,1,6,3,1
Atletico Madrid,9,1,2,6,4,1,0,1
Bayern Munich,10,3,2,7,1,1,0,2
Barcelona,13,2,3,3,2,1,0,2
Paris Saint-Germain,6,2,3,10,2,1,0,4
Chelsea,5,2,1,7,2,0,1,1
Real Madrid,10,2,3,10,3,1,1,6
Borussia Dortmund,6,2,4,5,1,2,2,4
Manchester United,6,2,1,6,3,0,2,0
