Team,home_goal_32_11,home_lost_32_11,away_goal_32_11,away_lost_32_11,home_goal_16_11,home_lost_16_11,away_goal_16_11,away_lost_16_11
Olympique Lyon,2,2,5,7,1,0,1,0
Bayer Leverkusen,6,2,6,2,1,3,7,1
AC Milan,6,3,5,5,4,0,3,0
Zenit St. Petersburg,4,1,4,3,3,2,2,0
SSC Napoli,5,2,4,5,3,1,3,1
CSKA Moskva,5,5,3,4,1,1,4,1
Olympique Marseille,3,2,2,4,1,0,2,1
Basel,4,4,6,7,1,0,7,0
Arsenal,4,2,4,3,3,0,4,0
SL Benfica,3,2,2,5,2,0,3,2
APOEL Nikosia,4,4,2,2,1,0,1,0
Barcelona,8,2,2,12,7,1,1,3
Internazionale,3,4,3,5,2,1,1,0
Bayern Munich,8,3,3,3,7,0,1,0
Chelsea,10,0,4,3,3,1,3,1
Real Madrid,13,2,0,6,4,1,1,1
