,leg,group,HTname,VTname,HTotal_shots,VTotal_shots,HShots_on_target,VShots_on_target,HShots_off_target,VShots_off_target,HShots_saved,VShots_saved,HCorners,VCorners,HFreekicks,VFreekicks,HFouls,VFouls,HOffsides,VOffsides
0,UEFA CHAMPIONS LEAGUE,Group A  ,Olympiacos Piraeus,Atlético Madrid,6,  17,4,  10,2,  7,6,  1,1,  8,15,  13,12,  13,1,  2
1,UEFA CHAMPIONS LEAGUE,Group A  ,Juventus FC,Malmö FF,16,  2,6,  1,10,  1,1,  4,7,  5,17,  14,9,  16,5,  1
2,UEFA CHAMPIONS LEAGUE,Group A  ,Malmö FF,Olympiacos Piraeus,9,  14,6,  8,3,  6,8,  4,2,  7,17,  16,13,  12,3,  5
3,UEFA CHAMPIONS LEAGUE,Group A  ,Atlético Madrid,Juventus FC,6,  4,2,  0,4,  4,0,  1,4,  2,31,  24,21,  29,3,  2
4,UEFA CHAMPIONS LEAGUE,Group A  ,Olympiacos Piraeus,Juventus FC,9,  12,5,  7,4,  5,7,  4,2,  7,19,  18,17,  16,1,  3
5,UEFA CHAMPIONS LEAGUE,Group A  ,Juventus FC,Olympiacos Piraeus,13,  6,5,  4,8,  2,2,  5,4,  5,20,  12,9,  18,3,  2
6,UEFA CHAMPIONS LEAGUE,Group A  ,Malmö FF,Atlético Madrid,11,  7,5,  5,6,  2,3,  4,0,  5,22,  15,15,  16,0,  6
7,UEFA CHAMPIONS LEAGUE,Group A  ,Malmö FF,Juventus FC,10,  16,3,  11,7,  5,8,  3,3,  2,12,  20,20,  10,0,  2
8,UEFA CHAMPIONS LEAGUE,Group A  ,Atlético Madrid,Olympiacos Piraeus,16,  4,9,  1,7,  3,1,  5,7,  3,15,  15,12,  15,3,  0
9,UEFA CHAMPIONS LEAGUE,Group A  ,Juventus FC,Atlético Madrid,8,  5,5,  4,3,  1,4,  5,6,  3,15,  14,13,  15,1,  0
10,UEFA CHAMPIONS LEAGUE,Group A  ,Olympiacos Piraeus,Malmö FF,23,  6,12,  2,11,  4,0,  8,7,  4,20,  13,9,  19,4,  1
11,UEFA CHAMPIONS LEAGUE,Group B  ,Liverpool FC,PFK Ludogorets Razgrad,14,  9,8,  3,6,  6,1,  6,3,  3,16,  24,21,  15,3,  1
12,UEFA CHAMPIONS LEAGUE,Group B  ,Real Madrid,FC Basel 1893,17,  12,9,  5,8,  7,4,  5,7,  2,12,  12,8,  8,4,  4
13,UEFA CHAMPIONS LEAGUE,Group B  ,FC Basel 1893,Liverpool FC,8,  10,4,  5,4,  5,5,  3,8,  4,17,  9,7,  10,2,  7
14,UEFA CHAMPIONS LEAGUE,Group B  ,PFK Ludogorets Razgrad,Real Madrid,6,  14,4,  7,2,  7,4,  4,8,  7,12,  12,8,  10,4,  2
15,UEFA CHAMPIONS LEAGUE,Group B  ,PFK Ludogorets Razgrad,FC Basel 1893,14,  7,10,  3,4,  4,3,  11,8,  3,19,  19,15,  19,4,  0
16,UEFA CHAMPIONS LEAGUE,Group B  ,Liverpool FC,Real Madrid,6,  12,3,  7,3,  5,4,  2,9,  5,7,  13,6,  4,7,  3
17,UEFA CHAMPIONS LEAGUE,Group B  ,FC Basel 1893,PFK Ludogorets Razgrad,15,  5,9,  2,6,  3,2,  4,6,  2,14,  10,8,  11,2,  3
18,UEFA CHAMPIONS LEAGUE,Group B  ,Real Madrid,Liverpool FC,16,  3,10,  1,6,  2,1,  8,7,  1,16,  9,8,  12,1,  4
19,UEFA CHAMPIONS LEAGUE,Group B  ,FC Basel 1893,Real Madrid,14,  7,5,  6,9,  1,4,  5,6,  6,17,  18,12,  12,6,  5
20,UEFA CHAMPIONS LEAGUE,Group B  ,PFK Ludogorets Razgrad,Liverpool FC,14,  7,6,  5,8,  2,3,  3,11,  2,21,  11,9,  20,2,  1
21,UEFA CHAMPIONS LEAGUE,Group B  ,Liverpool FC,FC Basel 1893,10,  10,5,  4,5,  6,3,  4,4,  4,19,  15,13,  17,2,  2
22,UEFA CHAMPIONS LEAGUE,Group B  ,Real Madrid,PFK Ludogorets Razgrad,19,  7,15,  4,4,  3,4,  9,17,  3,10,  8,6,  7,2,  3
23,UEFA CHAMPIONS LEAGUE,Group C  ,AS Monaco,Bayer 04 Leverkusen,4,  7,1,  1,3,  6,1,  0,3,  3,20,  21,16,  18,5,  2
24,UEFA CHAMPIONS LEAGUE,Group C  ,SL Benfica,Zenit St. Petersburg,9,  8,5,  4,4,  4,1,  6,8,  7,21,  12,11,  16,1,  5
25,UEFA CHAMPIONS LEAGUE,Group C  ,Zenit St. Petersburg,AS Monaco,8,  8,3,  2,5,  6,2,  3,5,  5,19,  15,15,  17,0,  2
26,UEFA CHAMPIONS LEAGUE,Group C  ,Bayer 04 Leverkusen,SL Benfica,21,  2,11,  1,10,  1,0,  7,4,  4,11,  25,16,  10,9,  1
27,UEFA CHAMPIONS LEAGUE,Group C  ,AS Monaco,SL Benfica,10,  9,2,  4,8,  5,3,  2,6,  4,22,  23,19,  20,4,  2
28,UEFA CHAMPIONS LEAGUE,Group C  ,Bayer 04 Leverkusen,Zenit St. Petersburg,11,  5,7,  4,4,  1,4,  5,6,  2,15,  20,17,  15,3,  0
29,UEFA CHAMPIONS LEAGUE,Group C  ,Zenit St. Petersburg,Bayer 04 Leverkusen,4,  11,3,  4,1,  7,2,  1,5,  4,25,  19,16,  21,3,  4
30,UEFA CHAMPIONS LEAGUE,Group C  ,SL Benfica,AS Monaco,8,  9,3,  5,5,  4,5,  2,6,  7,19,  16,15,  15,1,  4
31,UEFA CHAMPIONS LEAGUE,Group C  ,Zenit St. Petersburg,SL Benfica,2,  4,1,  1,1,  3,1,  0,5,  6,22,  22,15,  19,7,  3
32,UEFA CHAMPIONS LEAGUE,Group C  ,Bayer 04 Leverkusen,AS Monaco,14,  2,7,  1,7,  1,0,  6,7,  2,19,  19,18,  17,1,  2
33,UEFA CHAMPIONS LEAGUE,Group C  ,AS Monaco,Zenit St. Petersburg,6,  4,3,  3,3,  1,3,  1,4,  3,19,  12,8,  18,4,  1
34,UEFA CHAMPIONS LEAGUE,Group C  ,SL Benfica,Bayer 04 Leverkusen,7,  10,1,  5,6,  5,5,  1,7,  3,18,  12,12,  14,0,  4
35,UEFA CHAMPIONS LEAGUE,Group D  ,Galatasaray SK,RSC Anderlecht,6,  8,4,  4,2,  4,3,  4,7,  2,20,  18,14,  20,4,  0
36,UEFA CHAMPIONS LEAGUE,Group D  ,Borussia Dortmund,Arsenal FC,18,  4,6,  1,12,  3,1,  4,7,  1,19,  12,10,  17,2,  2
37,UEFA CHAMPIONS LEAGUE,Group D  ,Arsenal FC,Galatasaray SK,9,  13,5,  7,4,  6,6,  1,4,  7,14,  15,12,  10,3,  4
38,UEFA CHAMPIONS LEAGUE,Group D  ,RSC Anderlecht,Borussia Dortmund,4,  17,2,  10,2,  7,7,  1,6,  6,8,  11,6,  7,5,  1
39,UEFA CHAMPIONS LEAGUE,Group D  ,Galatasaray SK,Borussia Dortmund,7,  14,1,  10,6,  4,5,  1,7,  5,12,  4,3,  10,1,  2
40,UEFA CHAMPIONS LEAGUE,Group D  ,RSC Anderlecht,Arsenal FC,9,  10,5,  3,4,  7,1,  3,6,  3,12,  15,14,  12,1,  0
41,UEFA CHAMPIONS LEAGUE,Group D  ,Arsenal FC,RSC Anderlecht,13,  6,8,  5,5,  1,2,  4,8,  7,12,  9,9,  12,0,  0
42,UEFA CHAMPIONS LEAGUE,Group D  ,Borussia Dortmund,Galatasaray SK,10,  4,6,  3,4,  1,2,  2,9,  6,11,  10,10,  9,0,  2
43,UEFA CHAMPIONS LEAGUE,Group D  ,Arsenal FC,Borussia Dortmund,8,  8,4,  5,4,  3,5,  1,6,  3,11,  17,16,  9,1,  2
44,UEFA CHAMPIONS LEAGUE,Group D  ,RSC Anderlecht,Galatasaray SK,12,  7,9,  4,3,  3,3,  6,4,  2,24,  22,20,  20,2,  4
45,UEFA CHAMPIONS LEAGUE,Group D  ,Galatasaray SK,Arsenal FC,23,  10,7,  5,16,  5,0,  6,5,  4,18,  10,10,  14,0,  4
46,UEFA CHAMPIONS LEAGUE,Group D  ,Borussia Dortmund,RSC Anderlecht,19,  5,11,  3,8,  2,2,  10,4,  3,8,  13,10,  8,3,  0
47,UEFA CHAMPIONS LEAGUE,Group E  ,AS Roma,CSKA Moscow,9,  14,8,  8,1,  6,5,  4,4,  6,4,  11,7,  3,4,  1
48,UEFA CHAMPIONS LEAGUE,Group E  ,Bayern Munich,Manchester City,20,  8,10,  3,10,  5,3,  10,6,  4,17,  11,8,  16,3,  1
49,UEFA CHAMPIONS LEAGUE,Group E  ,CSKA Moscow,Bayern Munich,8,  10,4,  6,4,  4,4,  3,2,  12,11,  7,4,  8,3,  3
50,UEFA CHAMPIONS LEAGUE,Group E  ,Manchester City,AS Roma,13,  8,4,  5,9,  3,3,  3,7,  2,19,  13,13,  15,0,  4
51,UEFA CHAMPIONS LEAGUE,Group E  ,CSKA Moscow,Manchester City,9,  7,3,  5,6,  2,2,  1,2,  4,13,  9,8,  10,1,  3
52,UEFA CHAMPIONS LEAGUE,Group E  ,AS Roma,Bayern Munich,11,  11,7,  4,4,  7,4,  5,2,  6,9,  14,11,  6,3,  3
53,UEFA CHAMPIONS LEAGUE,Group E  ,Bayern Munich,AS Roma,17,  4,7,  2,10,  2,2,  5,7,  3,12,  12,11,  10,1,  2
54,UEFA CHAMPIONS LEAGUE,Group E  ,Manchester City,CSKA Moscow,13,  7,6,  3,7,  4,1,  5,6,  1,13,  15,12,  12,3,  1
55,UEFA CHAMPIONS LEAGUE,Group E  ,CSKA Moscow,AS Roma,7,  6,4,  2,3,  4,1,  3,6,  2,9,  18,17,  6,1,  3
56,UEFA CHAMPIONS LEAGUE,Group E  ,Manchester City,Bayern Munich,9,  6,5,  4,4,  2,2,  2,6,  0,13,  22,15,  13,7,  0
57,UEFA CHAMPIONS LEAGUE,Group E  ,AS Roma,Manchester City,10,  8,7,  4,3,  4,2,  7,7,  4,20,  16,11,  17,5,  3
58,UEFA CHAMPIONS LEAGUE,Group E  ,Bayern Munich,CSKA Moscow,15,  5,11,  1,4,  4,1,  7,8,  5,7,  11,4,  6,7,  1
59,UEFA CHAMPIONS LEAGUE,Group F  ,FC Barcelona,APOEL Nicosia,13,  3,6,  1,7,  2,1,  5,8,  4,15,  17,15,  12,2,  3
60,UEFA CHAMPIONS LEAGUE,Group F  ,Ajax Amsterdam,Paris Saint-Germain,8,  10,2,  5,6,  5,4,  1,2,  6,12,  14,14,  9,0,  3
61,UEFA CHAMPIONS LEAGUE,Group F  ,APOEL Nicosia,Ajax Amsterdam,6,  13,2,  5,4,  8,4,  1,5,  2,17,  16,13,  17,3,  0
62,UEFA CHAMPIONS LEAGUE,Group F  ,Paris Saint-Germain,FC Barcelona,8,  10,5,  4,3,  6,1,  2,3,  8,8,  8,8,  8,0,  0
63,UEFA CHAMPIONS LEAGUE,Group F  ,FC Barcelona,Ajax Amsterdam,14,  5,6,  1,8,  4,0,  4,3,  3,17,  13,10,  17,3,  0
64,UEFA CHAMPIONS LEAGUE,Group F  ,APOEL Nicosia,Paris Saint-Germain,3,  9,1,  4,2,  5,3,  1,4,  6,9,  7,7,  9,0,  0
65,UEFA CHAMPIONS LEAGUE,Group F  ,Paris Saint-Germain,APOEL Nicosia,14,  2,5,  0,9,  2,0,  3,6,  3,6,  11,9,  6,2,  0
66,UEFA CHAMPIONS LEAGUE,Group F  ,Ajax Amsterdam,FC Barcelona,4,  13,1,  8,3,  5,6,  1,1,  4,7,  14,14,  4,0,  3
67,UEFA CHAMPIONS LEAGUE,Group F  ,APOEL Nicosia,FC Barcelona,3,  19,1,  11,2,  8,6,  1,0,  7,6,  19,16,  5,3,  1
68,UEFA CHAMPIONS LEAGUE,Group F  ,Paris Saint-Germain,Ajax Amsterdam,9,  5,4,  1,5,  4,0,  1,4,  3,14,  18,15,  14,3,  0
69,UEFA CHAMPIONS LEAGUE,Group F  ,FC Barcelona,Paris Saint-Germain,6,  8,2,  3,4,  5,2,  2,3,  3,15,  13,12,  12,1,  3
70,UEFA CHAMPIONS LEAGUE,Group F  ,Ajax Amsterdam,APOEL Nicosia,13,  2,8,  0,5,  2,0,  4,6,  3,11,  8,8,  7,0,  4
71,UEFA CHAMPIONS LEAGUE,Group G  ,Chelsea FC,FC Schalke 04,10,  8,5,  5,5,  3,4,  4,7,  1,12,  18,16,  12,2,  0
72,UEFA CHAMPIONS LEAGUE,Group G  ,NK Maribor,Sporting CP,11,  16,6,  9,5,  7,8,  5,4,  8,16,  17,12,  15,5,  1
73,UEFA CHAMPIONS LEAGUE,Group G  ,FC Schalke 04,NK Maribor,15,  7,4,  4,11,  3,3,  3,6,  2,15,  16,13,  12,3,  3
74,UEFA CHAMPIONS LEAGUE,Group G  ,Sporting CP,Chelsea FC,12,  13,4,  7,8,  6,6,  4,2,  12,19,  14,14,  13,0,  6
75,UEFA CHAMPIONS LEAGUE,Group G  ,Chelsea FC,NK Maribor,15,  10,11,  5,4,  5,5,  5,6,  3,9,  12,10,  8,2,  1
76,UEFA CHAMPIONS LEAGUE,Group G  ,FC Schalke 04,Sporting CP,10,  7,6,  4,4,  3,1,  2,7,  3,20,  14,10,  18,4,  2
77,UEFA CHAMPIONS LEAGUE,Group G  ,Sporting CP,FC Schalke 04,14,  9,8,  3,6,  6,2,  4,5,  6,12,  18,16,  11,2,  1
