,leg,group,HTname,VTname,HTotal_shots,VTotal_shots,HShots_on_target,VShots_on_target,HShots_off_target,VShots_off_target,HShots_saved,VShots_saved,HCorners,VCorners,HFreekicks,VFreekicks,HFouls,VFouls,HOffsides,VOffsides
78,UEFA CHAMPIONS LEAGUE,Group G  ,NK Maribor,Chelsea FC,5,  14,2,  9,3,  5,8,  1,2,  6,11,  14,10,  6,4,  5
79,UEFA CHAMPIONS LEAGUE,Group G  ,FC Schalke 04,Chelsea FC,3,  9,3,  7,0,  2,3,  3,4,  6,15,  10,10,  9,0,  6
80,UEFA CHAMPIONS LEAGUE,Group G  ,Sporting CP,NK Maribor,19,  3,10,  1,9,  2,1,  6,5,  3,19,  19,18,  17,1,  2
81,UEFA CHAMPIONS LEAGUE,Group G  ,NK Maribor,FC Schalke 04,10,  12,4,  5,6,  7,3,  4,3,  5,16,  10,7,  11,3,  5
82,UEFA CHAMPIONS LEAGUE,Group G  ,Chelsea FC,Sporting CP,10,  9,6,  5,4,  4,4,  3,4,  5,15,  15,10,  13,5,  2
83,UEFA CHAMPIONS LEAGUE,Group H  ,FC Porto,BATE Borisov,16,  4,14,  1,2,  3,2,  8,9,  2,17,  12,11,  15,1,  2
84,UEFA CHAMPIONS LEAGUE,Group H  ,Athletic Bilbao,Shakhtar Donetsk,5,  5,2,  2,3,  3,2,  2,4,  6,21,  14,13,  15,1,  6
85,UEFA CHAMPIONS LEAGUE,Group H  ,BATE Borisov,Athletic Bilbao,16,  8,8,  2,8,  6,1,  5,8,  4,17,  16,15,  15,1,  2
86,UEFA CHAMPIONS LEAGUE,Group H  ,Shakhtar Donetsk,FC Porto,6,  16,5,  10,1,  6,8,  5,6,  6,14,  13,11,  10,2,  4
87,UEFA CHAMPIONS LEAGUE,Group H  ,FC Porto,Athletic Bilbao,11,  9,4,  5,7,  4,3,  2,2,  1,12,  20,16,  8,4,  4
88,UEFA CHAMPIONS LEAGUE,Group H  ,BATE Borisov,Shakhtar Donetsk,13,  16,5,  14,8,  2,6,  4,7,  6,11,  10,9,  10,1,  1
89,UEFA CHAMPIONS LEAGUE,Group H  ,Shakhtar Donetsk,BATE Borisov,15,  1,7,  1,8,  0,1,  2,7,  6,11,  9,6,  11,3,  0
90,UEFA CHAMPIONS LEAGUE,Group H  ,Athletic Bilbao,FC Porto,4,  12,1,  4,3,  8,2,  0,8,  2,21,  25,22,  20,3,  1
91,UEFA CHAMPIONS LEAGUE,Group H  ,BATE Borisov,FC Porto,5,  8,1,  4,4,  4,1,  1,0,  2,14,  21,19,  13,2,  1
92,UEFA CHAMPIONS LEAGUE,Group H  ,Shakhtar Donetsk,Athletic Bilbao,9,  11,4,  5,5,  6,4,  4,4,  3,22,  17,15,  21,2,  1
93,UEFA CHAMPIONS LEAGUE,Group H  ,FC Porto,Shakhtar Donetsk,11,  5,7,  2,4,  3,1,  5,6,  7,19,  14,12,  16,2,  3
94,UEFA CHAMPIONS LEAGUE,Group H  ,Athletic Bilbao,BATE Borisov,19,  1,9,  0,10,  1,0,  6,5,  4,15,  8,6,  12,2,  3
