,leg,group,HTname,VTname,HTotal_shots,VTotal_shots,HShots_on_target,VShots_on_target,HShots_off_target,VShots_off_target,HShots_saved,VShots_saved,HCorners,VCorners,HFreekicks,VFreekicks,HFouls,VFouls,HOffsides,VOffsides
0,UEFA CHAMPIONS LEAGUE,Group A  ,SL Benfica,CSKA Moscow,19,  10,6,  7,13,  3,4,  5,3,  4,17,  6,6,  14,0,  3
1,UEFA CHAMPIONS LEAGUE,Group A  ,Manchester United,FC Basel 1893,15,  7,9,  2,6,  5,2,  6,7,  3,16,  14,12,  14,2,  2
2,UEFA CHAMPIONS LEAGUE,Group A  ,CSKA Moscow,Manchester United,10,  12,7,  10,3,  2,6,  6,3,  7,7,  9,9,  6,0,  1
3,UEFA CHAMPIONS LEAGUE,Group A  ,FC Basel 1893,SL Benfica,13,  4,8,  0,5,  4,0,  3,0,  3,7,  16,14,  6,2,  1
4,UEFA CHAMPIONS LEAGUE,Group A  ,SL Benfica,Manchester United,6,  8,0,  4,6,  4,3,  0,6,  9,20,  9,9,  13,0,  7
5,UEFA CHAMPIONS LEAGUE,Group A  ,CSKA Moscow,FC Basel 1893,6,  10,0,  6,6,  4,4,  0,1,  3,27,  14,13,  20,1,  7
6,UEFA CHAMPIONS LEAGUE,Group A  ,Manchester United,SL Benfica,11,  7,4,  4,7,  3,5,  2,4,  6,12,  16,13,  9,3,  3
7,UEFA CHAMPIONS LEAGUE,Group A  ,FC Basel 1893,CSKA Moscow,8,  9,5,  3,3,  6,1,  4,5,  2,13,  12,11,  13,1,  0
8,UEFA CHAMPIONS LEAGUE,Group A  ,CSKA Moscow,SL Benfica,8,  7,4,  4,4,  3,4,  2,5,  5,17,  21,17,  15,4,  2
9,UEFA CHAMPIONS LEAGUE,Group A  ,FC Basel 1893,Manchester United,11,  13,6,  4,5,  9,4,  5,4,  6,16,  8,8,  15,0,  1
10,UEFA CHAMPIONS LEAGUE,Group A  ,SL Benfica,FC Basel 1893,17,  7,6,  4,11,  3,2,  6,9,  3,17,  17,16,  15,1,  2
11,UEFA CHAMPIONS LEAGUE,Group A  ,Manchester United,CSKA Moscow,11,  8,7,  3,4,  5,2,  5,9,  3,13,  11,11,  11,0,  2
12,UEFA CHAMPIONS LEAGUE,Group B  ,Bayern Munich,RSC Anderlecht,23,  4,10,  1,13,  3,1,  7,13,  1,5,  12,10,  4,2,  1
13,UEFA CHAMPIONS LEAGUE,Group B  ,Celtic FC,Paris Saint-Germain,6,  10,5,  7,1,  3,2,  5,3,  4,6,  6,4,  5,2,  1
14,UEFA CHAMPIONS LEAGUE,Group B  ,RSC Anderlecht,Celtic FC,9,  7,3,  4,6,  3,1,  3,3,  1,13,  17,11,  13,6,  0
15,UEFA CHAMPIONS LEAGUE,Group B  ,Paris Saint-Germain,Bayern Munich,10,  13,5,  7,5,  6,6,  2,1,  18,16,  10,9,  15,1,  1
16,UEFA CHAMPIONS LEAGUE,Group B  ,Bayern Munich,Celtic FC,20,  7,14,  3,6,  4,3,  11,12,  3,8,  10,6,  4,4,  4
17,UEFA CHAMPIONS LEAGUE,Group B  ,RSC Anderlecht,Paris Saint-Germain,12,  17,6,  6,6,  11,1,  7,6,  1,10,  16,16,  7,0,  3
18,UEFA CHAMPIONS LEAGUE,Group B  ,Celtic FC,Bayern Munich,8,  9,4,  4,4,  5,2,  3,5,  4,12,  15,11,  9,4,  3
19,UEFA CHAMPIONS LEAGUE,Group B  ,Paris Saint-Germain,RSC Anderlecht,17,  4,10,  2,7,  2,2,  5,7,  3,9,  15,13,  9,2,  1
20,UEFA CHAMPIONS LEAGUE,Group B  ,RSC Anderlecht,Bayern Munich,10,  13,5,  6,5,  7,4,  4,2,  2,10,  21,17,  7,4,  3
21,UEFA CHAMPIONS LEAGUE,Group B  ,Paris Saint-Germain,Celtic FC,22,  5,11,  1,11,  4,0,  3,5,  2,10,  12,8,  10,4,  0
22,UEFA CHAMPIONS LEAGUE,Group B  ,Bayern Munich,Paris Saint-Germain,8,  11,4,  8,4,  3,7,  1,4,  4,18,  21,19,  14,2,  4
23,UEFA CHAMPIONS LEAGUE,Group B  ,Celtic FC,RSC Anderlecht,8,  7,5,  5,3,  2,4,  5,4,  2,19,  12,10,  13,2,  6
24,UEFA CHAMPIONS LEAGUE,Group C  ,Chelsea FC,Qarabağ Ağdam,12,  5,8,  2,4,  3,2,  2,7,  2,12,  12,9,  9,3,  3
25,UEFA CHAMPIONS LEAGUE,Group C  ,AS Roma,Atlético Madrid,7,  16,1,  9,6,  7,9,  1,5,  7,20,  9,9,  15,0,  5
26,UEFA CHAMPIONS LEAGUE,Group C  ,Qarabağ Ağdam,AS Roma,6,  12,1,  9,5,  3,7,  0,4,  9,8,  26,22,  7,4,  1
27,UEFA CHAMPIONS LEAGUE,Group C  ,Atlético Madrid,Chelsea FC,10,  13,4,  4,6,  9,2,  3,3,  4,13,  15,15,  12,0,  1
28,UEFA CHAMPIONS LEAGUE,Group C  ,Qarabağ Ağdam,Atlético Madrid,6,  9,1,  5,5,  4,5,  1,2,  5,15,  13,13,  9,0,  6
29,UEFA CHAMPIONS LEAGUE,Group C  ,Chelsea FC,AS Roma,11,  13,4,  7,7,  6,4,  1,1,  3,8,  13,9,  7,4,  1
30,UEFA CHAMPIONS LEAGUE,Group C  ,AS Roma,Chelsea FC,12,  10,6,  6,6,  4,6,  3,5,  3,12,  7,5,  8,2,  4
31,UEFA CHAMPIONS LEAGUE,Group C  ,Atlético Madrid,Qarabağ Ağdam,20,  3,10,  3,10,  0,2,  9,12,  2,13,  15,13,  13,2,  0
32,UEFA CHAMPIONS LEAGUE,Group C  ,Qarabağ Ağdam,Chelsea FC,3,  15,1,  10,2,  5,6,  1,0,  5,15,  4,3,  13,1,  2
33,UEFA CHAMPIONS LEAGUE,Group C  ,Atlético Madrid,AS Roma,11,  4,4,  1,7,  3,1,  2,4,  2,14,  18,15,  13,3,  1
34,UEFA CHAMPIONS LEAGUE,Group C  ,Chelsea FC,Atlético Madrid,15,  10,8,  3,7,  7,2,  7,10,  5,15,  11,10,  12,1,  3
35,UEFA CHAMPIONS LEAGUE,Group C  ,AS Roma,Qarabağ Ağdam,16,  3,8,  2,8,  1,2,  6,14,  0,14,  8,4,  10,4,  4
36,UEFA CHAMPIONS LEAGUE,Group D  ,FC Barcelona,Juventus FC,7,  9,5,  6,2,  3,6,  2,6,  4,15,  12,9,  15,3,  0
37,UEFA CHAMPIONS LEAGUE,Group D  ,Olympiacos Piraeus,Sporting CP,10,  9,5,  5,5,  4,1,  3,4,  1,17,  12,11,  16,1,  1
38,UEFA CHAMPIONS LEAGUE,Group D  ,Juventus FC,Olympiacos Piraeus,13,  8,7,  2,6,  6,2,  5,11,  3,17,  15,14,  14,1,  3
39,UEFA CHAMPIONS LEAGUE,Group D  ,Sporting CP,FC Barcelona,5,  9,3,  6,2,  3,5,  3,3,  4,15,  21,18,  12,3,  3
40,UEFA CHAMPIONS LEAGUE,Group D  ,FC Barcelona,Olympiacos Piraeus,18,  2,12,  1,6,  1,0,  8,8,  3,15,  8,7,  13,1,  2
41,UEFA CHAMPIONS LEAGUE,Group D  ,Juventus FC,Sporting CP,11,  4,8,  1,3,  3,0,  6,13,  0,22,  19,18,  18,1,  4
42,UEFA CHAMPIONS LEAGUE,Group D  ,Olympiacos Piraeus,FC Barcelona,6,  11,2,  6,4,  5,6,  2,4,  12,15,  7,7,  9,0,  6
43,UEFA CHAMPIONS LEAGUE,Group D  ,Sporting CP,Juventus FC,5,  12,2,  6,3,  6,5,  0,3,  7,14,  18,16,  9,2,  5
44,UEFA CHAMPIONS LEAGUE,Group D  ,Juventus FC,FC Barcelona,9,  7,3,  1,6,  6,1,  3,2,  3,14,  13,13,  12,0,  2
45,UEFA CHAMPIONS LEAGUE,Group D  ,Sporting CP,Olympiacos Piraeus,13,  5,6,  2,7,  3,1,  2,6,  1,27,  14,13,  24,1,  3
46,UEFA CHAMPIONS LEAGUE,Group D  ,FC Barcelona,Sporting CP,9,  5,5,  3,4,  2,3,  3,4,  1,16,  16,14,  14,2,  2
47,UEFA CHAMPIONS LEAGUE,Group D  ,Olympiacos Piraeus,Juventus FC,8,  7,4,  5,4,  2,3,  4,5,  4,17,  17,15,  15,2,  2
48,UEFA CHAMPIONS LEAGUE,Group E  ,NK Maribor,Spartak Moscow,19,  15,7,  4,12,  11,3,  6,7,  1,13,  9,7,  13,2,  0
49,UEFA CHAMPIONS LEAGUE,Group E  ,Liverpool FC,Sevilla FC,16,  3,8,  2,8,  1,0,  6,10,  3,10,  14,14,  9,1,  1
50,UEFA CHAMPIONS LEAGUE,Group E  ,Spartak Moscow,Liverpool FC,3,  13,2,  7,1,  6,6,  1,2,  5,14,  11,11,  11,0,  3
51,UEFA CHAMPIONS LEAGUE,Group E  ,Sevilla FC,NK Maribor,17,  6,10,  1,7,  5,1,  7,14,  4,12,  10,9,  12,1,  1
52,UEFA CHAMPIONS LEAGUE,Group E  ,NK Maribor,Liverpool FC,4,  20,2,  14,2,  6,7,  2,0,  9,15,  13,10,  12,3,  3
53,UEFA CHAMPIONS LEAGUE,Group E  ,Spartak Moscow,Sevilla FC,11,  9,9,  6,2,  3,5,  4,0,  9,14,  9,7,  12,2,  2
54,UEFA CHAMPIONS LEAGUE,Group E  ,Liverpool FC,NK Maribor,16,  3,8,  1,8,  2,1,  5,17,  2,8,  7,7,  8,0,  0
55,UEFA CHAMPIONS LEAGUE,Group E  ,Sevilla FC,Spartak Moscow,9,  7,4,  3,5,  4,1,  2,8,  1,13,  13,9,  11,4,  2
56,UEFA CHAMPIONS LEAGUE,Group E  ,Spartak Moscow,NK Maribor,10,  8,2,  4,8,  4,3,  2,4,  0,15,  16,13,  13,3,  2
57,UEFA CHAMPIONS LEAGUE,Group E  ,Sevilla FC,Liverpool FC,9,  10,4,  8,5,  2,3,  1,6,  7,18,  20,9,  17,11,  1
58,UEFA CHAMPIONS LEAGUE,Group E  ,NK Maribor,Sevilla FC,7,  14,2,  8,5,  6,7,  1,1,  9,9,  11,10,  8,1,  1
59,UEFA CHAMPIONS LEAGUE,Group E  ,Liverpool FC,Spartak Moscow,14,  8,10,  5,4,  3,5,  3,3,  2,12,  16,14,  9,2,  3
60,UEFA CHAMPIONS LEAGUE,Group F  ,Feyenoord Rotterdam,Manchester City,3,  9,1,  8,2,  1,4,  1,3,  7,17,  16,15,  11,1,  6
61,UEFA CHAMPIONS LEAGUE,Group F  ,Shakhtar Donetsk,SSC Napoli,8,  14,5,  7,3,  7,6,  3,0,  11,19,  12,9,  15,3,  4
62,UEFA CHAMPIONS LEAGUE,Group F  ,Manchester City,Shakhtar Donetsk,13,  4,7,  2,6,  2,2,  5,2,  3,6,  16,11,  5,5,  1
63,UEFA CHAMPIONS LEAGUE,Group F  ,SSC Napoli,Feyenoord Rotterdam,9,  6,4,  5,5,  1,4,  1,5,  2,17,  14,12,  15,2,  2
64,UEFA CHAMPIONS LEAGUE,Group F  ,Feyenoord Rotterdam,Shakhtar Donetsk,8,  6,4,  2,4,  4,0,  3,2,  4,17,  13,12,  13,1,  4
65,UEFA CHAMPIONS LEAGUE,Group F  ,Manchester City,SSC Napoli,13,  4,8,  3,5,  1,2,  6,5,  4,9,  16,13,  8,3,  1
66,UEFA CHAMPIONS LEAGUE,Group F  ,Shakhtar Donetsk,Feyenoord Rotterdam,15,  10,9,  6,6,  4,5,  5,9,  3,17,  15,13,  15,2,  2
67,UEFA CHAMPIONS LEAGUE,Group F  ,SSC Napoli,Manchester City,9,  9,6,  5,3,  4,1,  4,4,  6,11,  13,7,  10,6,  1
68,UEFA CHAMPIONS LEAGUE,Group F  ,Manchester City,Feyenoord Rotterdam,13,  4,4,  2,9,  2,2,  3,6,  4,14,  14,11,  14,3,  0
69,UEFA CHAMPIONS LEAGUE,Group F  ,SSC Napoli,Shakhtar Donetsk,10,  7,6,  4,4,  3,4,  3,7,  4,12,  20,12,  11,8,  1
70,UEFA CHAMPIONS LEAGUE,Group F  ,Feyenoord Rotterdam,SSC Napoli,8,  7,3,  4,5,  3,4,  1,5,  5,20,  21,18,  14,3,  6
71,UEFA CHAMPIONS LEAGUE,Group F  ,Shakhtar Donetsk,Manchester City,11,  7,6,  2,5,  5,1,  4,2,  6,12,  8,8,  10,0,  2
72,UEFA CHAMPIONS LEAGUE,Group G  ,FC Porto,Besiktas JK,15,  10,7,  4,8,  6,1,  5,11,  3,12,  15,15,  11,0,  1
73,UEFA CHAMPIONS LEAGUE,Group G  ,RB Leipzig,AS Monaco,5,  3,2,  2,3,  1,0,  1,5,  4,22,  19,10,  20,9,  2
74,UEFA CHAMPIONS LEAGUE,Group G  ,AS Monaco,FC Porto,9,  11,5,  9,4,  2,1,  5,8,  4,19,  14,13,  17,1,  2
75,UEFA CHAMPIONS LEAGUE,Group G  ,Besiktas JK,RB Leipzig,7,  14,6,  3,1,  11,3,  4,3,  6,19,  10,7,  16,3,  3
76,UEFA CHAMPIONS LEAGUE,Group G  ,RB Leipzig,FC Porto,13,  7,8,  4,5,  3,2,  4,7,  2,17,  8,8,  15,0,  2
77,UEFA CHAMPIONS LEAGUE,Group G  ,AS Monaco,Besiktas JK,8,  8,5,  4,3,  4,2,  4,6,  6,15,  15,14,  12,1,  3
