,leg,group,HTname,VTname,HTotal_shots,VTotal_shots,HShots_on_target,VShots_on_target,HShots_off_target,VShots_off_target,HShots_saved,VShots_saved,HCorners,VCorners,HFreekicks,VFreekicks,HFouls,VFouls,HOffsides,VOffsides
0,UEFA CHAMPIONS LEAGUE,Group A  ,FC Basel 1893,PFK Ludogorets Razgrad,9,  3,5,  2,4,  1,1,  4,1,  0,18,  31,26,  17,5,  1
1,UEFA CHAMPIONS LEAGUE,Group A  ,Paris Saint-Germain,Arsenal FC,8,  7,4,  3,4,  4,1,  3,11,  7,12,  14,10,  12,4,  0
2,UEFA CHAMPIONS LEAGUE,Group A  ,Arsenal FC,FC Basel 1893,13,  5,8,  2,5,  3,2,  6,8,  7,14,  9,3,  12,6,  2
3,UEFA CHAMPIONS LEAGUE,Group A  ,PFK Ludogorets Razgrad,Paris Saint-Germain,6,  15,4,  7,2,  8,4,  3,0,  4,17,  9,9,  15,0,  2
4,UEFA CHAMPIONS LEAGUE,Group A  ,Paris Saint-Germain,FC Basel 1893,12,  8,7,  1,5,  7,1,  4,3,  5,19,  17,14,  17,3,  2
5,UEFA CHAMPIONS LEAGUE,Group A  ,Arsenal FC,PFK Ludogorets Razgrad,15,  7,13,  3,2,  4,3,  7,6,  1,8,  12,12,  6,0,  2
6,UEFA CHAMPIONS LEAGUE,Group A  ,PFK Ludogorets Razgrad,Arsenal FC,5,  7,4,  4,1,  3,1,  2,4,  5,23,  11,10,  20,1,  3
7,UEFA CHAMPIONS LEAGUE,Group A  ,FC Basel 1893,Paris Saint-Germain,6,  15,2,  9,4,  6,7,  1,3,  10,17,  15,15,  9,0,  8
8,UEFA CHAMPIONS LEAGUE,Group A  ,Arsenal FC,Paris Saint-Germain,2,  7,1,  3,1,  4,2,  0,3,  6,10,  12,8,  8,4,  2
9,UEFA CHAMPIONS LEAGUE,Group A  ,PFK Ludogorets Razgrad,FC Basel 1893,3,  9,0,  5,3,  4,5,  0,3,  5,31,  15,13,  30,2,  1
