ÆÀ,µæÁ¡,½ÇÁ¡,È¨µæÁ¡,È¨½ÇÁ¡,¾î¿þÀÌµæÁ¡,¾î¿þÀÌ ½ÇÁ¡,16µæÁ¡,16½ÇÁ¡,16È¨µæÁ¡,16È¨½ÇÁ¡,16¾î¿þÀÌµæÁ¡,16¾î¿þÀÌ½ÇÁ¡,8µæÁ¡ ,8½ÇÁ¡,8È¨µæÁ¡,8È¨½ÇÁ¡,8¾î¿þÀÌµæÁ¡,8¾î¿þÀÌ½ÇÁ¡,4µæÁ¡,4½ÇÁ¡,4È¨µæÁ¡,4È¨½ÇÁ¡,4¾î¿þÀÌµæÁ¡,4¾î¿þÀÌ½ÇÁ¡,°áµæÁ¡,°á½ÇÁ¡
RBLeipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RealMadrid,16,10,9,4,7,6,6,2,3,1,3,1,6,3,4,2,2,1,4,2,3,0,1,2,4,1
ParisSG,13,7,6,3,7,4,5,6,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ManCity,12,10,8,2,4,6,6,6,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dortmund,21,9,11,6,10,3,4,1,4,0,0,1,3,6,2,3,1,3,0,0,0,0,0,0,0,0
Tottenham,6,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern,14,6,10,1,4,5,10,2,5,1,5,1,3,6,1,2,2,4,0,0,0,0,0,0,0,0
Napoli,11,8,6,5,5,3,2,6,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,20,4,15,0,5,4,6,5,6,1,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0
Lyon,5,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus ,11,2,3,1,8,1,3,0,1,0,2,0,3,0,3,0,0,0,4,1,2,1,2,0,1,4
Atletico,7,2,5,1,2,1,4,2,0,0,4,2,2,1,1,0,1,1,2,4,2,1,0,3,0,0
Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
